entity,code,year,literacy_rate
Afghanistan,AFG,1950,3.0
Afghanistan,AFG,1979,18.16
Afghanistan,AFG,2011,31.45
Afghanistan,AFG,2015,33.75
Afghanistan,AFG,2020,36.014965
Afghanistan,AFG,2021,37.27
Albania,ALB,1950,72.5
Albania,ALB,2001,98.71
Albania,ALB,2008,95.94
Albania,ALB,2011,96.85
Albania,ALB,2012,97.25
Albania,ALB,2017,98.81
Albania,ALB,2023,97.68
Algeria,DZA,1950,17.5
Algeria,DZA,1987,49.63
Algeria,DZA,2002,69.87
Algeria,DZA,2006,72.65
Algeria,DZA,2008,75.14
American Samoa,ASM,1950,96.5
American Samoa,ASM,1980,97.34
Andorra,AND,1950,82.5
Angola,AGO,1950,3.0
Angola,AGO,2001,67.41
Angola,AGO,2014,66.03
Angola,AGO,2015,66.24
Angola,AGO,2023,68.18
Anguilla,AIA,1984,95.41
Antigua and Barbuda,ATG,1950,82.5
Antigua and Barbuda,ATG,2001,98.95
Argentina,ARG,1914,64.9
Argentina,ARG,1947,86.4
Argentina,ARG,1950,87.5
Argentina,ARG,1980,93.91
Argentina,ARG,1991,96.04
Argentina,ARG,2001,97.19
Argentina,ARG,2020,99.14
Armenia,ARM,1989,98.75
Armenia,ARM,2001,99.4
Armenia,ARM,2011,99.74
Armenia,ARM,2016,99.74
Armenia,ARM,2017,99.74
Armenia,ARM,2018,100.0
Armenia,ARM,2019,100.0
Armenia,ARM,2020,99.79
Armenia,ARM,2022,99.82
Armenia,ARM,2023,99.84
Aruba,ABW,2000,97.29
Aruba,ABW,2010,96.82
Australia,AUS,1950,98.5
Austria,AUT,1950,98.5
Azerbaijan,AZE,1999,98.79
Azerbaijan,AZE,2007,99.59
Azerbaijan,AZE,2009,99.76
Azerbaijan,AZE,2010,99.77
Azerbaijan,AZE,2011,99.78
Azerbaijan,AZE,2012,99.78
Azerbaijan,AZE,2013,99.79
Azerbaijan,AZE,2014,99.79
Azerbaijan,AZE,2015,99.79
Azerbaijan,AZE,2016,99.79
Azerbaijan,AZE,2017,99.79
Azerbaijan,AZE,2019,99.8
Azerbaijan,AZE,2023,99.78
Bahamas,BHS,1950,77.5
Bahrain,BHR,1950,12.5
Bahrain,BHR,1981,69.75
Bahrain,BHR,1991,84.01
Bahrain,BHR,2001,86.55
Bahrain,BHR,2022,97.87
Bahrain,BHR,2023,97.85
Bahrain,BHR,2024,97.82
Bangladesh,BGD,1981,29.23
Bangladesh,BGD,1991,35.32
Bangladesh,BGD,2001,47.49
Bangladesh,BGD,2011,58.77
Bangladesh,BGD,2012,57.86
Bangladesh,BGD,2013,61.02
Bangladesh,BGD,2014,61.09
Bangladesh,BGD,2015,65.14
Bangladesh,BGD,2016,72.76
Bangladesh,BGD,2017,72.89
Bangladesh,BGD,2018,73.91
Bangladesh,BGD,2019,74.68
Bangladesh,BGD,2020,74.91
Bangladesh,BGD,2021,76.36
Bangladesh,BGD,2022,79.0
Barbados,BRB,1950,92.5
Barbados,BRB,1970,99.27
Belarus,BLR,1989,97.88
Belarus,BLR,1999,99.59
Belarus,BLR,2009,99.62
Belarus,BLR,2019,99.87
Belgium,BEL,1475,10.0
Belgium,BEL,1550,17.0
Belgium,BEL,1650,25.0
Belgium,BEL,1750,13.0
Belgium,BEL,1900,80.4
Belgium,BEL,1910,86.6
Belgium,BEL,1920,92.2
Belgium,BEL,1930,94.1
Belgium,BEL,1950,96.5
Belize,BLZ,1950,77.5
Belize,BLZ,1991,70.3
Belize,BLZ,2000,76.9
Belize,BLZ,2015,90.92
Belize,BLZ,2022,87.88
Benin,BEN,1979,16.48
Benin,BEN,1992,27.25
Benin,BEN,2002,34.66
Benin,BEN,2011,44.68812
Benin,BEN,2013,45.08
Benin,BEN,2017,38.87
Benin,BEN,2019,49.0
Benin,BEN,2021,43.83
Benin,BEN,2022,51.38
Bermuda,BMU,1950,96.5
Bhutan,BTN,1950,3.0
Bhutan,BTN,2005,52.81
Bhutan,BTN,2012,55.32
Bhutan,BTN,2017,66.56
Bhutan,BTN,2022,64.91
Bolivia,BOL,1950,32.5
Bolivia,BOL,1976,63.21
Bolivia,BOL,1992,79.99
Bolivia,BOL,2001,86.72
Bolivia,BOL,2007,90.29
Bolivia,BOL,2008,90.7
Bolivia,BOL,2009,91.17
Bolivia,BOL,2011,92.23
Bolivia,BOL,2012,94.46
Bolivia,BOL,2015,92.46
Bolivia,BOL,2020,93.85
Bolivia,BOL,2023,95.55
Bolivia,BOL,2024,96.73
Bosnia and Herzegovina,BIH,1991,89.06
Bosnia and Herzegovina,BIH,2000,96.66
Bosnia and Herzegovina,BIH,2013,96.99
Botswana,BWA,1950,22.5
Botswana,BWA,1991,68.58
Botswana,BWA,2003,81.19
Brazil,BRA,1900,34.7
Brazil,BRA,1920,35.1
Brazil,BRA,1940,43.9
Brazil,BRA,1950,47.5
Brazil,BRA,1980,74.59
Brazil,BRA,2000,86.37
Brazil,BRA,2004,88.62
Brazil,BRA,2006,89.62
Brazil,BRA,2007,90.01
Brazil,BRA,2008,90.04
Brazil,BRA,2009,90.3
Brazil,BRA,2010,90.38
Brazil,BRA,2011,91.41
Brazil,BRA,2012,91.34
Brazil,BRA,2013,91.48
Brazil,BRA,2014,91.73
Brazil,BRA,2015,92.05
Brazil,BRA,2016,92.81
Brazil,BRA,2017,93.08
Brazil,BRA,2018,93.23
Brazil,BRA,2019,93.892624
Brazil,BRA,2020,94.74441
Brazil,BRA,2021,94.77261
Brazil,BRA,2022,94.37687
Brazil,BRA,2023,94.57255
Brazil,BRA,2024,94.74
Brunei,BRN,1950,27.5
Brunei,BRN,1981,77.74
Brunei,BRN,1991,87.8
Brunei,BRN,2001,92.67
Brunei,BRN,2011,96.09
Bulgaria,BGR,1900,29.6
Bulgaria,BGR,1905,34.5
Bulgaria,BGR,1910,42.2
Bulgaria,BGR,1920,53.3
Bulgaria,BGR,1926,60.3
Bulgaria,BGR,1934,68.6
Bulgaria,BGR,1950,77.5
Bulgaria,BGR,2001,98.2
Bulgaria,BGR,2011,98.35
Burkina Faso,BFA,1975,8.83
Burkina Faso,BFA,1991,13.57
Burkina Faso,BFA,1996,12.85
Burkina Faso,BFA,2003,21.82
Burkina Faso,BFA,2005,23.52
