entity,code,start_year,start_rate,latest_year,latest_rate,point_change
Saudi Arabia,SAU,1950,3.0,2024,97.93,94.93
Oman,OMN,1950,3.0,2022,97.34,94.34
Qatar,QAT,1950,7.5,2024,99.32,91.82
Bahrain,BHR,1950,12.5,2024,97.82,85.32
Papua New Guinea,PNG,1950,7.5,2022,87.00469,79.5
Kuwait,KWT,1950,17.5,2020,96.46,78.96
Vietnam,VNM,1950,17.5,2022,96.13,78.63
Indonesia,IDN,1950,17.5,2020,96.0,78.5
Jordan,JOR,1950,17.5,2024,94.44,76.94
Iran,IRN,1950,12.5,2023,88.91682,76.42
Eswatini,SWZ,1950,17.5,2022,90.75,73.25
Iraq,IRQ,1950,12.5,2021,84.064896,71.56
Rwanda,RWA,1950,7.5,2022,78.76,71.26
Zimbabwe,ZWE,1950,22.5,2019,93.23,70.73
Tanzania,TZA,1950,7.5,2022,78.21,70.71
Sao Tome and Principe,STP,1950,17.5,2019,87.44,69.94
Solomon Islands,SLB,1950,7.5,1999,76.6,69.1
Tunisia,TUN,1950,17.5,2023,86.25,68.75
Brunei,BRN,1950,27.5,2011,96.09,68.59
Syria,SYR,1950,27.5,2021,94.42,66.92
East Timor,TLS,1950,3.0,2022,69.4,66.4
Cape Verde,CPV,1950,22.5,2024,88.47,65.97
Equatorial Guinea,GNQ,1950,22.5,2000,88.31,65.81
Nepal,NPL,1950,3.0,2019,68.71,65.71
Angola,AGO,1950,3.0,2023,68.18,65.18
Togo,TGO,1950,7.5,2022,72.6,65.1
Cameroon,CMR,1950,7.5,2018,72.55,65.05
Turkey,TUR,1950,32.5,2021,97.26,64.76
Bolivia,BOL,1950,32.5,2024,96.73,64.23
Malawi,MWI,1950,7.5,2020,70.15,62.65
Bhutan,BTN,1950,3.0,2022,64.91,61.91
Eritrea,ERI,1950,3.0,2008,64.66,61.66
Guinea-Bissau,GNB,1950,3.0,2022,63.93,60.93
India,IND,1950,17.5,2024,78.16254,60.66
South Korea,KOR,1950,37.5,2008,97.97,60.47
Kenya,KEN,1950,22.5,2000,82.23,59.73
Botswana,BWA,1950,22.5,2003,81.19,58.69
Mozambique,MOZ,1950,3.0,2022,61.665344,58.67
New Caledonia,NCL,1950,37.5,1996,96.14,58.64
Malaysia,MYS,1950,37.5,2022,95.77,58.27
Laos,LAO,1950,17.5,2023,75.64,58.14
Nigeria,NGA,1950,12.5,2024,70.41,57.91
Algeria,DZA,1950,17.5,2008,75.14,57.64
Ethiopia,ETH,1950,3.0,2022,60.46,57.46
Egypt,EGY,1950,22.5,2022,79.45316,56.95
Seychelles,SYC,1950,37.5,2010,93.95,56.45
Haiti,HTI,1950,12.5,2017,68.01,55.51
Vanuatu,VUT,1950,32.5,2023,87.96,55.46
Guatemala,GTM,1950,27.5,2024,82.11,54.61
Cambodia,KHM,1950,17.5,2021,71.93,54.43
Ghana,GHA,1950,22.5,2021,76.49,53.99
Comoros,COM,1950,22.5,2021,75.6202,53.12
Libya,LBY,1950,7.5,1984,60.16,52.66
El Salvador,SLV,1950,37.5,2024,89.77,52.27
Liberia,LBR,1950,7.5,2010,59.40303,51.9
World,OWID_WRL,1950,35.959377,2024,87.74,51.78
Morocco,MAR,1950,12.5,2014,64.26,51.76
Dominican Republic,DOM,1950,42.5,2024,94.03,51.53
Honduras,HND,1950,37.5,2024,88.25,50.75
Singapore,SGP,1950,47.5,2021,97.65,50.15
Nicaragua,NIC,1950,37.5,2014,87.32718,49.83
Bangladesh,BGD,1981,29.23,2022,79.0,49.77
Uganda,UGA,1950,27.5,2024,77.04,49.54
Zambia,ZMB,1950,22.5,2024,71.77,49.27
China,CHN,1950,47.5,2020,96.74,49.24
Burundi,BDI,1979,22.51,2020,71.33748,48.83
South Africa,ZAF,1950,42.5,2024,91.15,48.65
Senegal,SEN,1950,3.0,2023,50.36,47.36
Brazil,BRA,1950,47.5,2024,94.74,47.24
Peru,PER,1950,47.5,2024,93.66,46.16
Sudan,SDN,1950,7.5,2008,53.52,46.02
United Arab Emirates,ARE,1975,53.51,2024,98.81,45.3
Venezuela,VEN,1950,52.5,2017,97.183716,44.68
Lebanon,LBN,1950,47.5,2019,92.00997,44.51
Gambia,GMB,1950,7.5,2021,51.64,44.14
Colombia,COL,1950,52.5,2024,95.34,42.84
Madagascar,MDG,1950,32.5,2021,74.69,42.19
Mauritius,MUS,1950,52.5,2023,94.28778,41.79
Pakistan,PAK,1950,17.5,2021,58.86,41.36
Mongolia,MNG,1950,57.5,2024,98.64,41.14
